time_sec,left_motor,right_motor,forward,backward,left_turn,right_turn,serial_command
0.0007,0,0,0,0,0,0,L0 R0
0.0622,0,0,0,0,0,0,L0 R0
0.1115,0,0,0,0,0,0,L0 R0
0.1618,0,0,0,0,0,0,L0 R0
0.2121,0,0,0,0,0,0,L0 R0
0.2615,0,0,0,0,0,0,L0 R0
0.3115,0,0,0,0,0,0,L0 R0
0.3622,0,0,0,0,0,0,L0 R0
0.4122,0,0,0,0,0,0,L0 R0
0.4619,0,0,0,0,0,0,L0 R0
0.5117,0,0,0,0,0,0,L0 R0
0.5614,0,0,0,0,0,0,L0 R0
0.6122,0,0,0,0,0,0,L0 R0
0.6621,0,0,0,0,0,0,L0 R0
0.7115,0,0,0,0,0,0,L0 R0
0.7623,0,0,0,0,0,0,L0 R0
0.8122,0,0,0,0,0,0,L0 R0
0.8622,0,0,0,0,0,0,L0 R0
0.912,0,0,0,0,0,0,L0 R0
0.9619,0,0,0,0,0,0,L0 R0
1.0118,0,0,0,0,0,0,L0 R0
1.0617,0,0,0,0,0,0,L0 R0
1.1124,0,0,0,0,0,0,L0 R0
1.1626,0,0,0,0,0,0,L0 R0
1.213,0,0,0,0,0,0,L0 R0
1.2618,0,0,0,0,0,0,L0 R0
1.3123,0,0,0,0,0,0,L0 R0
1.3617,0,0,0,0,0,0,L0 R0
1.412,0,0,0,0,0,0,L0 R0
1.462,0,0,0,0,0,0,L0 R0
1.5121,0,0,0,0,0,0,L0 R0
1.5623,0,0,0,0,0,0,L0 R0
1.6124,0,0,0,0,0,0,L0 R0
1.6624,0,0,0,0,0,0,L0 R0
1.7133,0,0,0,0,0,0,L0 R0
1.764,0,0,0,0,0,0,L0 R0
1.8138,0,0,0,0,0,0,L0 R0
1.8636,0,0,0,0,0,0,L0 R0
1.9133,0,0,0,0,0,0,L0 R0
1.9642,0,0,0,0,0,0,L0 R0
2.014,0,0,0,0,0,0,L0 R0
2.0637,0,0,0,0,0,0,L0 R0
2.1135,0,0,0,0,0,0,L0 R0
2.1641,0,0,0,0,0,0,L0 R0
2.2144,0,0,0,0,0,0,L0 R0
2.2646,0,0,0,0,0,0,L0 R0
2.3151,0,0,0,0,0,0,L0 R0
2.3647,0,0,0,0,0,0,L0 R0
2.4151,0,0,0,0,0,0,L0 R0
2.4645,0,0,0,0,0,0,L0 R0
2.5152,0,0,0,0,0,0,L0 R0
2.5646,0,0,0,0,0,0,L0 R0
2.6142,0,0,0,0,0,0,L0 R0
2.6638,0,0,0,0,0,0,L0 R0
2.7142,0,0,0,0,0,0,L0 R0
2.7638,0,0,0,0,0,0,L0 R0
2.8137,0,0,0,0,0,0,L0 R0
2.8637,0,0,0,0,0,0,L0 R0
2.9144,0,0,0,0,0,0,L0 R0
2.9649,0,0,0,0,0,0,L0 R0
3.0155,0,0,0,0,0,0,L0 R0
3.0657,0,0,0,0,0,0,L0 R0
3.1159,0,0,0,0,0,0,L0 R0
3.1663,0,0,0,0,0,0,L0 R0
3.2168,0,0,0,0,0,0,L0 R0
3.267,0,0,0,0,0,0,L0 R0
3.3165,0,0,0,0,0,0,L0 R0
3.3669,0,0,0,0,0,0,L0 R0
3.4172,0,0,0,0,0,0,L0 R0
3.4665,0,0,0,0,0,0,L0 R0
3.5168,0,0,0,0,0,0,L0 R0
3.5672,0,0,0,0,0,0,L0 R0
3.6157,0,0,0,0,0,0,L0 R0
3.6663,0,0,0,0,0,0,L0 R0
3.7156,0,0,0,0,0,0,L0 R0
3.766,0,0,0,0,0,0,L0 R0
3.8162,0,0,0,0,0,0,L0 R0
3.8665,0,0,0,0,0,0,L0 R0
3.9167,0,0,0,0,0,0,L0 R0
3.9671,0,0,0,0,0,0,L0 R0
4.0166,0,0,0,0,0,0,L0 R0
4.0673,0,0,0,0,0,0,L0 R0
4.1164,0,0,0,0,0,0,L0 R0
4.1667,0,0,0,0,0,0,L0 R0
4.2173,0,0,0,0,0,0,L0 R0
4.2679,0,0,0,0,0,0,L0 R0
4.3181,0,0,0,0,0,0,L0 R0
4.3675,0,0,0,0,0,0,L0 R0
4.4179,0,0,0,0,0,0,L0 R0
4.4674,0,0,0,0,0,0,L0 R0
4.5177,0,0,0,0,0,0,L0 R0
4.568,0,0,0,0,0,0,L0 R0
4.6174,0,0,0,0,0,0,L0 R0
4.668,0,0,0,0,0,0,L0 R0
4.7174,0,0,0,0,0,0,L0 R0
4.7678,0,0,0,0,0,0,L0 R0
4.8178,0,0,0,0,0,0,L0 R0
4.8683,0,0,0,0,0,0,L0 R0
4.9189,0,0,0,0,0,0,L0 R0
4.9693,0,0,0,0,0,0,L0 R0
5.0194,0,0,0,0,0,0,L0 R0
5.0699,0,0,0,0,0,0,L0 R0
5.1202,0,0,0,0,0,0,L0 R0
5.1695,0,0,0,0,0,0,L0 R0
5.2197,0,0,0,0,0,0,L0 R0
5.2701,0,0,0,0,0,0,L0 R0
5.3198,0,0,0,0,0,0,L0 R0
5.3701,0,0,0,0,0,0,L0 R0
5.4196,0,0,0,0,0,0,L0 R0
5.4701,0,0,0,0,0,0,L0 R0
5.5196,0,0,0,0,0,0,L0 R0
5.5701,0,0,0,0,0,0,L0 R0
5.6192,0,0,0,0,0,0,L0 R0
5.6699,0,0,0,0,0,0,L0 R0
5.7193,0,0,0,0,0,0,L0 R0
5.7699,0,0,0,0,0,0,L0 R0
5.82,0,0,0,0,0,0,L0 R0
5.8693,0,0,0,0,0,0,L0 R0
5.9197,0,0,0,0,0,0,L0 R0
