time_sec,axis_x,axis_y,left_motor,right_motor,serial_command
0.711,0.5372,0.8431,-55,-248,L-55 R-248
0.7615,0.9608,0.2784,122,-223,L122 R-223
0.8119,1.0,0.0,179,-179,L179 R-179
0.8624,0.8117,0.0,146,-146,L146 R-146
0.9128,0.3961,0.0,71,-71,L71 R-71
0.9631,0.0,0.0,0,0,L0 R0
1.0135,0.0,0.0,0,0,L0 R0
1.0639,0.0,0.0,0,0,L0 R0
1.1144,0.0,0.0,0,0,L0 R0
1.1648,0.0,0.0,0,0,L0 R0
1.2152,0.0,0.0,0,0,L0 R0
1.2657,0.0,-0.8745,157,157,L157 R157
1.3161,0.0,-1.0,180,180,L180 R180
1.3664,0.0,-1.0,180,180,L180 R180
1.4168,0.0,-1.0,180,180,L180 R180
1.4672,0.0,-1.0,180,180,L180 R180
1.5176,0.0,-1.0,180,180,L180 R180
1.568,0.0,-1.0,180,180,L180 R180
1.6184,0.0,0.0,0,0,L0 R0
1.6689,0.0,0.0,0,0,L0 R0
1.7192,0.0,0.0,0,0,L0 R0
1.7697,-1.0,0.0,-180,180,L-180 R180
1.8207,-1.0,0.0,-180,180,L-180 R180
1.8713,-1.0,0.0,-180,180,L-180 R180
1.9237,-1.0,0.0,-180,180,L-180 R180
1.9763,-1.0,0.0,-180,180,L-180 R180
2.0267,-1.0,0.0,-180,180,L-180 R180
2.0771,0.0,0.0,0,0,L0 R0
2.1275,0.0,0.0,0,0,L0 R0
2.1799,0.0,0.0,0,0,L0 R0
2.2308,0.0,0.0,0,0,L0 R0
2.2819,0.8431,0.0,151,-151,L151 R-151
2.3326,1.0,0.0,179,-179,L179 R-179
2.3831,1.0,0.0,179,-179,L179 R-179
2.4336,0.7804,0.0,140,-140,L140 R-140
2.4842,0.0,0.0,0,0,L0 R0
2.5354,0.0,0.0,0,0,L0 R0
2.5865,0.0,0.0,0,0,L0 R0
2.6376,0.0,0.2157,-38,-38,L-38 R-38
2.6888,-0.2235,0.9764,-215,-135,L-215 R-135
2.7399,-0.2235,0.9764,-215,-135,L-215 R-135
2.7912,-0.1843,0.9843,-210,-143,L-210 R-143
2.8424,0.0,1.0,-179,-179,L-179 R-179
2.8936,0.0,1.0,-179,-179,L-179 R-179
2.9447,0.0,1.0,-179,-179,L-179 R-179
2.9958,0.0,1.0,-179,-179,L-179 R-179
3.0493,0.0,1.0,-179,-179,L-179 R-179
3.1005,0.0,1.0,-179,-179,L-179 R-179
3.1512,-0.3333,0.9372,-228,-108,L-228 R-108
3.2021,0.0,0.0,0,0,L0 R0
3.2529,0.0,0.0,0,0,L0 R0
3.3037,0.0,0.0,0,0,L0 R0
3.3544,0.0,-0.2549,45,45,L45 R45
3.4049,0.2706,-0.5922,155,57,L155 R57
3.4553,0.4196,-0.898,237,86,L237 R86
3.5058,0.3882,-0.9137,234,94,L234 R94
3.5567,0.349,-0.9294,230,104,L230 R104
3.6071,0.0,-1.0,180,180,L180 R180
3.6575,0.0,-1.0,180,180,L180 R180
3.7079,0.0,-1.0,180,180,L180 R180
3.7587,-0.451,-0.8431,70,232,L70 R232
3.8096,-0.8431,-0.4588,-69,234,L-69 R234
3.8603,-1.0,0.0,-180,180,L-180 R180
3.911,-1.0,0.0,-180,180,L-180 R180
3.9617,-1.0,0.0,-180,180,L-180 R180
4.0123,-0.8196,0.5608,-248,46,L-248 R46
4.0631,0.0,0.9921,-178,-178,L-178 R-178
4.1138,0.0,1.0,-179,-179,L-179 R-179
4.1646,0.3098,0.9529,-115,-227,L-115 R-227
4.2153,0.4902,0.8745,-69,-245,L-69 R-245
4.266,0.9137,0.4117,90,-238,L90 R-238
4.3168,1.0,0.0,179,-179,L179 R-179
4.3675,1.0,0.0,179,-179,L179 R-179
4.4182,0.9137,-0.3961,235,-93,L235 R-93
4.4687,0.4353,-0.8902,238,81,L238 R81
4.5191,0.0,-1.0,180,180,L180 R180
4.5695,0.0,-1.0,180,180,L180 R180
4.6202,0.0,-1.0,180,180,L180 R180
4.6706,-0.6941,-0.6314,-11,238,L-11 R238
4.7211,-1.0,0.0,-180,180,L-180 R180
4.7715,-1.0,0.0,-180,180,L-180 R180
4.8219,-1.0,0.0,-180,180,L-180 R180
4.8723,-1.0,0.0,-180,180,L-180 R180
4.9228,-0.7569,0.6392,-251,21,L-251 R21
4.9736,0.0,1.0,-179,-179,L-179 R-179
5.0242,0.0,1.0,-179,-179,L-179 R-179
5.0746,0.2078,0.9843,-139,-214,L-139 R-214
5.1254,0.3568,0.9372,-104,-232,L-104 R-232
5.1759,0.8117,0.5843,40,-251,L40 R-251
5.2267,0.9843,0.1921,142,-211,L142 R-211
5.2771,1.0,0.0,179,-179,L179 R-179
5.3275,0.8666,-0.4902,244,-67,L244 R-67
5.378,0.4431,-0.8902,239,80,L239 R80
5.4288,0.3176,-0.9059,220,105,L220 R105
5.4792,0.0,0.0,0,0,L0 R0
5.5296,0.0,0.0,0,0,L0 R0
5.5803,0.0,0.0,0,0,L0 R0
5.6307,0.0,0.0,0,0,L0 R0
5.6812,-1.0,0.0,-180,180,L-180 R180
5.7316,-1.0,0.0,-180,180,L-180 R180
5.7823,-1.0,0.0,-180,180,L-180 R180
5.8327,-1.0,0.0,-180,180,L-180 R180
5.8832,-1.0,0.0,-180,180,L-180 R180
5.934,-1.0,0.0,-180,180,L-180 R180
5.9848,-1.0,0.0,-180,180,L-180 R180
6.0353,-1.0,0.0,-180,180,L-180 R180
6.0857,-1.0,0.0,-180,180,L-180 R180
6.1365,-1.0,0.0,-180,180,L-180 R180
6.1869,-1.0,0.0,-180,180,L-180 R180
6.2373,-1.0,0.0,-180,180,L-180 R180
6.2877,-1.0,0.0,-180,180,L-180 R180
6.3385,-1.0,0.0,-180,180,L-180 R180
6.3889,-1.0,0.0,-180,180,L-180 R180
6.4393,-1.0,0.0,-180,180,L-180 R180
6.4897,-1.0,0.0,-180,180,L-180 R180
6.5405,-1.0,0.0,-180,180,L-180 R180
6.5915,-1.0,0.0,-180,180,L-180 R180
6.6422,-1.0,0.0,-180,180,L-180 R180
6.6929,-1.0,0.0,-180,180,L-180 R180
6.7436,-1.0,0.0,-180,180,L-180 R180
6.7943,-1.0,0.0,-180,180,L-180 R180
6.845,-1.0,0.0,-180,180,L-180 R180
6.8958,-1.0,0.0,-180,180,L-180 R180
6.9462,-1.0,0.0,-180,180,L-180 R180
6.9966,-1.0,0.0,-180,180,L-180 R180
7.047,-1.0,0.0,-180,180,L-180 R180
7.0975,0.0,0.0,0,0,L0 R0
7.1479,0.0,0.0,0,0,L0 R0
7.1984,0.0,0.0,0,0,L0 R0
7.2488,0.4823,0.0,86,-86,L86 R-86
7.2992,1.0,0.0,179,-179,L179 R-179
7.3497,1.0,0.0,179,-179,L179 R-179
7.4001,1.0,0.0,179,-179,L179 R-179
7.4505,1.0,0.0,179,-179,L179 R-179
7.501,1.0,0.0,179,-179,L179 R-179
7.5514,1.0,0.0,179,-179,L179 R-179
7.6018,1.0,0.0,179,-179,L179 R-179
7.6523,1.0,0.0,179,-179,L179 R-179
7.7027,1.0,0.0,179,-179,L179 R-179
7.7531,1.0,0.0,179,-179,L179 R-179
7.8035,1.0,0.0,179,-179,L179 R-179
7.8539,0.0,0.0,0,0,L0 R0
7.9043,0.0,0.0,0,0,L0 R0
7.9547,0.0,0.0,0,0,L0 R0
8.0056,0.0,-0.7412,133,133,L133 R133
8.0559,0.0,-1.0,180,180,L180 R180
8.1064,0.0,-1.0,180,180,L180 R180
8.1572,0.1921,-0.9765,210,141,L210 R141
8.2078,0.1921,-0.9765,210,141,L210 R141
8.2589,0.0,-1.0,180,180,L180 R180
8.3098,0.0,-1.0,180,180,L180 R180
8.3609,0.0,-1.0,180,180,L180 R180
8.4121,0.0,-1.0,180,180,L180 R180
8.4631,0.0,-1.0,180,180,L180 R180
8.5142,0.0,-1.0,180,180,L180 R180
8.5653,0.0,-1.0,180,180,L180 R180
8.6165,0.0,-1.0,180,180,L180 R180
8.6675,0.0,-1.0,180,180,L180 R180
8.7186,0.0,-1.0,180,180,L180 R180
8.7696,0.0,-1.0,180,180,L180 R180
8.8206,0.0,-1.0,180,180,L180 R180
8.8712,0.0,-0.9216,165,165,L165 R165
8.9218,0.0,-0.2235,40,40,L40 R40
8.9729,0.0,0.0,0,0,L0 R0
9.0235,0.0,0.0,0,0,L0 R0
9.074,0.0,0.0,0,0,L0 R0
9.1247,0.0,0.6313,-113,-113,L-113 R-113
9.1753,0.0,1.0,-179,-179,L-179 R-179
9.2259,0.0,1.0,-179,-179,L-179 R-179
9.2764,0.0,1.0,-179,-179,L-179 R-179
9.327,0.0,1.0,-179,-179,L-179 R-179
9.3776,0.0,1.0,-179,-179,L-179 R-179
9.4282,0.0,1.0,-179,-179,L-179 R-179
9.4789,0.0,1.0,-179,-179,L-179 R-179
9.53,0.0,1.0,-179,-179,L-179 R-179
9.5806,0.0,1.0,-179,-179,L-179 R-179
9.6313,0.0,1.0,-179,-179,L-179 R-179
9.6822,0.0,1.0,-179,-179,L-179 R-179
9.7328,0.0,1.0,-179,-179,L-179 R-179
9.784,0.0,1.0,-179,-179,L-179 R-179
9.8346,0.0,1.0,-179,-179,L-179 R-179
9.8852,0.0,1.0,-179,-179,L-179 R-179
9.9358,0.0,1.0,-179,-179,L-179 R-179
9.9864,0.0,1.0,-179,-179,L-179 R-179
10.0369,0.0,1.0,-179,-179,L-179 R-179
10.0877,0.0,1.0,-179,-179,L-179 R-179
10.1384,0.0,1.0,-179,-179,L-179 R-179
10.189,0.0,1.0,-179,-179,L-179 R-179
10.2397,0.0,1.0,-179,-179,L-179 R-179
10.2902,0.0,1.0,-179,-179,L-179 R-179
10.3409,0.0,1.0,-179,-179,L-179 R-179
10.3919,0.0,0.8039,-144,-144,L-144 R-144
10.4425,0.0,0.0,0,0,L0 R0
10.4931,0.0,0.0,0,0,L0 R0
10.5439,0.0,0.0,0,0,L0 R0
